cve,legacy_date_published,current_date_published
CVE-1999-1585,2005-08-30,2022-10-03
CVE-1999-1588,2006-04-21,2022-10-03
CVE-1999-1589,2006-06-15,2022-10-03
CVE-1999-1590,2006-12-03,2022-10-03
CVE-1999-1591,2007-07-05,2022-10-03
CVE-1999-1592,2007-07-12,2022-10-03
CVE-1999-1593,2009-01-14,2022-10-03
CVE-2000-1219,2005-04-21,2022-10-03
CVE-2000-1223,2005-04-21,2022-10-03
CVE-2000-1226,2005-06-21,2022-10-03
CVE-2000-1227,2005-06-28,2022-10-03
CVE-2000-1229,2005-07-14,2022-10-03
CVE-2000-1230,2005-07-14,2022-10-03
CVE-2000-1231,2005-07-14,2022-10-03
CVE-2000-1232,2005-07-14,2022-10-03
CVE-2000-1234,2005-07-14,2022-10-03
CVE-2000-1235,2005-07-14,2022-10-03
CVE-2000-1237,2005-07-14,2022-10-03
CVE-2000-1242,2006-12-10,2022-10-03
CVE-2000-1244,2007-10-18,2022-10-03
CVE-2000-1245,2010-04-05,2022-10-03
CVE-2000-1246,2010-04-05,2022-10-03
CVE-2001-1465,2005-04-21,2022-10-03
CVE-2001-1510,2005-07-14,2022-10-03
CVE-2001-1511,2005-07-14,2022-10-03
CVE-2001-1514,2005-07-14,2022-10-03
CVE-2001-1516,2005-07-14,2022-10-03
CVE-2001-1517,2005-07-14,2022-10-03
CVE-2001-1518,2005-07-14,2022-10-03
CVE-2001-1519,2005-07-14,2022-10-03
CVE-2001-1520,2005-07-14,2022-10-03
CVE-2001-1522,2005-07-14,2022-10-03
CVE-2001-1523,2005-07-14,2022-10-03
CVE-2001-1525,2005-07-14,2022-10-03
CVE-2001-1526,2005-07-14,2022-10-03
CVE-2001-1528,2005-07-14,2022-10-03
CVE-2001-1529,2005-07-14,2022-10-03
CVE-2001-1530,2005-07-14,2022-10-03
CVE-2001-1531,2005-07-14,2022-10-03
CVE-2001-1532,2005-07-14,2022-10-03
CVE-2001-1533,2005-07-14,2022-10-03
CVE-2001-1534,2005-07-14,2022-10-03
CVE-2001-1535,2005-07-14,2022-10-03
CVE-2001-1536,2005-07-14,2022-10-03
CVE-2001-1538,2005-07-14,2022-10-03
CVE-2001-1540,2005-07-14,2022-10-03
CVE-2001-1541,2005-07-14,2022-10-03
CVE-2001-1542,2005-07-14,2022-10-03
CVE-2001-1543,2005-07-14,2022-10-03
CVE-2001-1544,2005-07-14,2022-10-03
CVE-2001-1545,2005-07-14,2022-10-03
CVE-2001-1546,2005-07-14,2022-10-03
CVE-2001-1548,2005-07-14,2022-10-03
CVE-2001-1549,2005-07-14,2022-10-03
CVE-2001-1551,2005-07-14,2022-10-03
CVE-2001-1553,2005-07-14,2022-10-03
CVE-2001-1554,2005-07-14,2022-10-03
CVE-2001-1555,2005-07-14,2022-10-03
CVE-2001-1556,2005-07-14,2022-10-03
CVE-2001-1557,2005-07-14,2022-10-03
CVE-2001-1558,2005-07-14,2022-10-03
CVE-2001-1559,2005-07-14,2022-10-03
CVE-2001-1560,2005-07-14,2022-10-03
CVE-2001-1561,2005-07-14,2022-10-03
CVE-2001-1565,2005-07-14,2022-10-03
CVE-2001-1566,2005-07-14,2022-10-03
CVE-2001-1568,2005-07-14,2022-10-03
CVE-2001-1569,2005-07-14,2022-10-03
CVE-2001-1570,2005-07-14,2022-10-03
CVE-2001-1571,2005-07-14,2022-10-03
CVE-2001-1572,2005-07-14,2022-10-03
CVE-2001-1573,2005-08-05,2022-10-03
CVE-2001-1574,2005-08-05,2022-10-03
CVE-2001-1576,2005-08-05,2022-10-03
CVE-2001-1578,2005-08-05,2022-10-03
CVE-2001-1579,2005-08-05,2022-10-03
CVE-2001-1582,2007-09-23,2022-10-03
CVE-2001-1587,2010-04-05,2022-10-03
CVE-2002-0034,2004-01-14,2022-10-03
CVE-2002-1370,2005-04-15,2022-10-03
CVE-2002-1583,2004-08-20,2022-10-03
CVE-2002-1686,2005-06-21,2022-10-03
CVE-2002-1687,2005-06-21,2022-10-03
CVE-2002-1689,2005-06-21,2022-10-03
CVE-2002-1690,2005-06-21,2022-10-03
CVE-2002-1718,2005-06-21,2022-10-03
CVE-2002-1761,2005-06-21,2022-10-03
CVE-2002-1779,2005-06-21,2022-10-03
CVE-2002-1784,2005-06-28,2022-10-03
CVE-2002-1785,2005-06-28,2022-10-03
CVE-2002-1786,2005-06-28,2022-10-03
CVE-2002-1787,2005-06-28,2022-10-03
CVE-2002-1789,2005-06-28,2022-10-03
CVE-2002-1790,2005-06-28,2022-10-03
CVE-2002-1791,2005-06-28,2022-10-03
CVE-2002-1793,2005-06-28,2022-10-03
CVE-2002-1795,2005-06-28,2022-10-03
CVE-2002-1796,2005-06-28,2022-10-03
CVE-2002-1799,2005-06-28,2022-10-03
CVE-2002-1800,2005-06-28,2022-10-03
CVE-2002-1801,2005-06-28,2022-10-03
CVE-2002-1802,2005-06-28,2022-10-03
CVE-2002-1803,2005-06-28,2022-10-03
CVE-2002-1804,2005-06-28,2022-10-03
CVE-2002-1805,2005-06-28,2022-10-03
CVE-2002-1806,2005-06-28,2022-10-03
CVE-2002-1807,2005-06-28,2022-10-03
CVE-2002-1808,2005-06-28,2022-10-03
CVE-2002-1809,2005-06-28,2022-10-03
CVE-2002-1810,2005-06-28,2022-10-03
CVE-2002-1811,2005-06-28,2022-10-03
CVE-2002-1813,2005-06-28,2022-10-03
CVE-2002-1814,2005-06-28,2022-10-03
CVE-2002-1815,2005-06-28,2022-10-03
CVE-2002-1818,2005-06-28,2022-10-03
CVE-2002-1819,2005-06-28,2022-10-03
CVE-2002-1820,2005-06-28,2022-10-03
CVE-2002-1821,2005-06-28,2022-10-03
CVE-2002-1823,2005-06-28,2022-10-03
CVE-2002-1824,2005-06-28,2022-10-03
CVE-2002-1826,2005-06-28,2022-10-03
CVE-2002-1828,2005-06-28,2022-10-03
CVE-2002-1831,2005-06-28,2022-10-03
CVE-2002-1834,2005-06-28,2022-10-03
CVE-2002-1835,2005-06-28,2022-10-03
CVE-2002-1836,2005-06-28,2022-10-03
CVE-2002-1838,2005-06-28,2022-10-03
CVE-2002-1839,2005-06-28,2022-10-03
CVE-2002-1840,2005-06-28,2022-10-03
CVE-2002-1842,2005-06-28,2022-10-03
CVE-2002-1843,2005-06-28,2022-10-03
CVE-2002-1844,2005-06-28,2022-10-03
CVE-2002-1845,2005-06-28,2022-10-03
CVE-2002-1846,2005-06-28,2022-10-03
CVE-2002-1848,2005-06-28,2022-10-03
CVE-2002-1849,2005-06-28,2022-10-03
CVE-2002-1851,2005-06-28,2022-10-03
CVE-2002-1852,2005-06-28,2022-10-03
CVE-2002-1853,2005-06-28,2022-10-03
CVE-2002-1854,2005-06-28,2022-10-03
CVE-2002-1855,2005-06-28,2022-10-03
CVE-2002-1856,2005-06-28,2022-10-03
